tweet,cluster_number
"audio despair of being 93 and lonely
",6.0
"ebola screening not perfect boris
",6.0
"medics email criticises ebola plans
",6.0
"video i placed ad for kidney donor
",6.0
"video uk tests ebola outbreak response
",6.0
"spain sets up ebola crisis group
",6.0
"minister backs ebola screening plan
",6.0
"antibiotic resistance rise continues
",6.0
"uk announces ebola screening plans
",6.0
"uk sending 750 troops to tackle ebola
",6.0
"who warns of ebola hospital risks
",6.0
"spain investigates ebola infection
",6.0
"inside sierra leones ebola clinics
",6.0
"video first us ebola case critical
",6.0
"first us ebola case critical
",6.0
"video first wombtransplant baby born
",6.0
"first wombtransplant baby born
",6.0
"texas ebola flat to be sanitised
",6.0
"uk funds ebola clinics in s leone
",6.0
"w africa ebola deaths pass 3000
",6.0
"talk therapy best for social phobia
",6.0
"15 of gp antibiotic courses fail
",6.0
"ebola nations may face collapse
",6.0
"breath test for tb developed
",6.0
"video nhs staff to help in ebola areas
",6.0
"call to offer boys the hpv vaccine
",6.0
"berries in cancer therapy trial
",6.0
"rugby players risk skin infections
",6.0
"cuba to send doctors to ebola areas
",6.0
"video uk ebola survivor returns to africa
",6.0
"sierra leone declares ebola lockdown
",6.0
"one in five child deaths preventable
",6.0
"bionic pancreas a new dawn for diabetics
",6.0
"genetic clues to spread of ebola
",6.0
"depression in cancer overlooked
",6.0
"video rapid doctors assistant expansion
",6.0
"rapid doctors assistant expansion
",6.0
"double vaccines could end polio
",6.0
"video possible ebola case in ireland
",6.0
"dawkins abort downs foetuses
",6.0
"shots fired at liberia ebola protest
",6.0
"liberia troops enforce quarantine
",6.0
"sepsis antibiotics not working
",6.0
"life on ebola front line
",6.0
"hospital hack exploited heartbleed
",6.0
"liberian ebola patients found
",6.0
"video trapeze lessons help beat depression
",6.0
"failing gps a pandoras box
",6.0
"obesity linked to 10 cancers
",6.0
"placebo test in cardiac arrest study
",6.0
"video ebola vaccines are promising
",6.0
"liberia buckles under ebola strain
",6.0
"video priest evacuated over ebola outbreak
",6.0
"west africa erects ebola blockades
",6.0
"blood app can detect diseases
",6.0
"uk border staff not ready for ebola
",6.0
"liberia bans football over ebola
",6.0
"blood donors pass on hepatitis e
",6.0
"nerve centre for appetite control
",6.0
"sierra leone ebola escapee found
",6.0
"cancer blood test moves step closer
",6.0
"chicken factory health probe ordered
",6.0
"video clue to antibiotic resistance spread
",6.0
"invisible partners in miscarriage
",6.0
"ec confident in brain project
",6.0
"peers to debate assisted dying bill
",6.0
"biological pacemaker tested in lab
",6.0
"end to aids by 2030 is possible
",6.0
"prediabetes label worthless
",6.0
"babys e coli hospital death
",6.0
"footballers need concussion care
",6.0
"scientists probe sex addict brains
",6.0
"bloodfilter child transplant first
",6.0
"video africa collaborates to tackle ebola
",6.0
"cancer care could be privatised
",6.0
"councilrun care unsustainable
",6.0
"video pm calls for action on antibiotics
",6.0
"third hospital feed baby dies
",6.0
"video robots to help treat stroke patients
",6.0
"video plan to boost gp cancer detection rates
",6.0
"video abortion pill risk in cambodia
",6.0
"drastic action needed on ebola
",6.0
"concerns over fat burning drug dnp
",6.0
"ban new smokers call from doctors
",6.0
"probe into care of reporters father
",6.0
"video ebola outbreak is out of control
",6.0
"video devastating impact of pip benefit
",6.0
"kandinsky salad tastes better
",6.0
"baby ashes report calls for new laws
",6.0
"second hospital feed baby dies
",6.0
"red meat linked to breast cancer
",6.0
"aspirin not best to stop strokes
",6.0
"fathers plea over baby feed death
",6.0
"parents arrested over obese child
",6.0
"video police probe patient hospital death
",6.0
"fifteen babies given blood poisoning
",6.0
"staff leave sierra leone over ebola
",6.0
"bug repellent is safe study says
",6.0
"blood pressure advances save lives
",6.0
"possible cynicism link to dementia
",6.0
"be wary of wikipedia say scientists
",6.0
"abortion clinic
",6.0
"laverbread salmonella probe ongoing
",6.0
"prostate cancer linked to sex bug
",6.0
"astrazeneca rejects new pfizer bid
",6.0
"brazil 2014 dengue risk predicted
",6.0
"audio safe or not statins debated
",6.0
"pfizer to face new grilling by mps
",6.0
"top scientist pfizer bid flimsy
",6.0
"wee oscar dies after cancer battle
",6.0
"better care plan for neuro patients
",6.0
"polio jabs for pakistani travellers
",6.0
"former astra boss attacks pfizer bid
",6.0
"poll backs school fizzy drinks ban
",6.0
"brittle bone disease protein find
",6.0
"biggest scanning project begins
",6.0
"pfizer raises astrazeneca offer
",6.0
"children copy parent screen habits
",6.0
"experience dementia via facebook
",6.0
"pfizer confirms astrazeneca bid move
",6.0
"breast cancer drug price cut urged
",6.0
"bereaved parents heard at last
",6.0
"mali on alert over ebola fears
",6.0
"i lost 10 relatives to ebola
",6.0
"video ecigs face curb in public places
",6.0
"ecigs face curb in public places
",6.0
"basic instinct helps to spot liars
",6.0
"pet cats infect two people with tb
",6.0
"blood pressure spikes for doctors
",6.0
"faulty delayed puberty gene found
",6.0
"ban junk food tv ads until 2100
",6.0
"rapid breaths protect early babies
",6.0
"lost sleep may mean lost brain cells
",6.0
"patient feedback posts open to abuse
",6.0
"cancer hospital in licence breach
",6.0
"scots tories end free prescriptions
",6.0
"plea for rare group blood donors
",6.0
"public sector pay decisions due
",6.0
"abortion provider hit by data fine
",6.0
"statin debate a bitter pill
",6.0
"hospital death rates to be clearer
",6.0
"dirty stethoscopes bacteria threat
",6.0
"csection link to later obesity
",6.0
"video bid to improve teen cancer treatment
",6.0
"rare poliolike disease reports
",6.0
"police probe into patient deaths
",6.0
"video loneliness a risk in cancer patients
",6.0
"romanian doctors tempted by a better life
",6.0
"prostate tests will predict risk
",6.0
"call for hospital death rates probe
",6.0
"test predicts teen depression risk
",6.0
"a nation of pill poppers
",6.0
"rise in new diabetes cases
",6.0
"belfast medics develop xray app
",6.0
"mps set to vote on car smoking ban
",6.0
"video tattoo boom brings potential dangers
",6.0
"i didnt let bowel disease beat me
",6.0
"cbt effective in schizophrenia
",6.0
"bionic hand allows patient to feel
",6.0
"delay patient records database
",6.0
"doctor prescribed elephant dose
",6.0
"could bubonic plague strike again
",6.0
"pregnancy fat may alter baby brain
",6.0
"older cancer patients written off
",6.0
"babies heart risk shaped early on
",6.0
"cancer patients to double by 2030
",6.0
"football can tackle male obesity
",6.0
"green tea can impedes beta blocker
",6.0
"nine women receive womb transplants
",6.0
"aampe crisis is raised at assembly
",6.0
"junior doctor debts wiped under plan
",6.0
"lucozade sport drink advert banned
",6.0
"report cites weak hospital bosses
",6.0
"patient data to be collected from gps
",6.0
"schizophrenia cbt little help
",6.0
"vitamin e beneficial in dementia
",6.0
"video new register for breast implants
",6.0
"defibrillator call for sport centres
",6.0
"breast implants to be registered
",6.0
"solving medical problems online
",6.0
"world record for transplant patient
",6.0
"staff told to lie to patients
",6.0
"call to act on prescription addicts
",6.0
"ivf success rate could be doubled
",6.0
"video battle against polio in 60 seconds
",6.0
"scientists print new eye cells
",6.0
"appleaday call for all over50s
",6.0
"gp failings exposed by inspectors
",6.0
"ulcer pills linked to b12 deficiency
",6.0
"pip boss jailed over breast implants
",6.0
"booze still kills 20 people a week
",6.0
"boyle is part of invisible generation
",6.0
"infections wars true beneficiaries
",6.0
"world dementia cases set to treble
",6.0
"risk fears in caesarean adoption
",6.0
"tax tobacco call to poor countries
",6.0
"memories pass between generations
",6.0
"ive been hiv positive for 28 years
",6.0
"plea for rugby concussion lessons
",6.0
"video movember bandito mps in commons
",6.0
"fda bans personal genetic tests
",6.0
"can my doctor be my facebook friend
",6.0
"video donor found for boy after appeal
",6.0
"nobel prize winner sanger dies at 95
",6.0
"bulgarias departing doctors
",6.0
"call to raise prescriptions to â£10
",6.0
"antibiotics are not for snot
",6.0
"video frail patients to be given named gp
",6.0
"kangaroo care key for prem babies
",6.0
"fund suspends contracts over bribes
",6.0
"elderly face â£150000 care bill
",6.0
"phone app to locate defibrillators
",6.0
"diabetes asias silent killer
",6.0
"males more likely to be fat and 40
",6.0
"video disabled people win fund case
",6.0
"global impact of depression revealed
",6.0
"police probe cancer unit failures
",6.0
"blood test hope for skin cancer
",6.0
"call for national dementia database
",6.0
"benefit delays hit cancer patients
",6.0
"drinks tax obesity effect modest
",6.0
"apology for obamacare woes
",6.0
"new breast cancer test offers hope
",6.0
"video are disabled people still invisible
",6.0
"gps overprescribe antibiotics
",6.0
"jones backs cancelling winter ops
",6.0
"baldness cure a step closer
",6.0
"travellers block hospital car park
",6.0
"syria polio outbreak fears
",6.0
"peekaboo a window on babys brain
",6.0
"sleep cleans the brain of toxins
",6.0
"doctors told dont blame obese
",6.0
"over50s osteoporosis scale revealed
",6.0
"cancer costing europe billions
",6.0
"abortion staff could face court
",6.0
"video work programme failing disabled
",6.0
"ecigarettes face possible eu ban
",6.0
"probiotics soothes colicky babies
",6.0
"digital baby screen for sperm donors
",6.0
"video toddlers to be offered flu vaccine
",6.0
"body clock reset button found
",6.0
"video exercise can be as good as pills
",6.0
"sweden is best place to be old
",6.0
"pupils breakfasting on energy drinks
",6.0
"global war on drugs failing report
",6.0
"identical triplets born against odds
",6.0
"gp workload harming care bma poll
",5.0
"why strenuous runs may not be so bad after all
",5.0
"80000 might die in future outbreak
",5.0
"skin cancer linked to holiday boom
",5.0
"drug giant blocks eye treatment
",5.0
"blood test for downs syndrome hailed
",5.0
"care system gets biggest shakeup
",5.0
"ms drug may already be out there
",5.0
"ecigarette use high among teens
",5.0
"chikungunya revives herbal remedies in antigua
",5.0
"meningitis b vaccine deal agreed
",5.0
"guinea declares ebola emergency
",5.0
"ebola more deadly in young children
",5.0
"methadone programme a black hole
",5.0
"video charity slams global ebola response
",5.0
"diseasecarrying mosquitoes warning
",5.0
"asias deadly secret the scourge of the betel nut
",5.0
"mental health budgets cut by 8
",5.0
"morbidly obese could get free flu jab
",5.0
"morbidly obese could get free flu jab
",5.0
"video child mental health services broken
",5.0
"video burnham on mental health scandal
",5.0
"ebola seventh brit sent home
",5.0
"video mental health spending boost
",5.0
"mental health to get funding boost
",5.0
"testosterone boost could cut deaths
",5.0
"video my daughter might not have died
",5.0
"why not introduce more nhs charges
",5.0
"uk military health worker has ebola
",5.0
"brain injury birth mum awarded â£5m
",5.0
"are antismoking measures working
",5.0
"hrtusers may risk clots and stroke
",5.0
"nhs whistleblower demands new job
",5.0
"disrupting chemicals âcost billionsâ
",5.0
"technology helps visually impaired navigate the tube
",5.0
"autism appears largely genetic
",5.0
"tablet video game combats lazy eye
",5.0
"formal end to ni child heart surgery
",5.0
"baby deaths inquiry report due
",5.0
"are humans getting cleverer
",5.0
"distinct me stages found says study
",5.0
"why sams wobbly brain is important
",5.0
"cut music to an hour a day who
",5.0
"leukaemia changes almost inevitable
",5.0
"dispute over outdoor smoking ban call
",5.0
"analysis an hiv game changer
",5.0
"who taken aback by measles outbreaks
",5.0
"give hiv drugs to healthy gay men
",5.0
"councils to control â£6bn nhs budget
",5.0
"tobacco kills two in three smokers
",5.0
"early exposure cuts peanut allergy
",5.0
"uk ebola medics under investigation
",5.0
"video mental health deaths avoidable
",5.0
"call for global singleuse syringes
",5.0
"video child mental health must be priority
",5.0
"us panel backs green lowmeat diet
",5.0
"suicide in men highest since 2001
",5.0
"child mental health a mothers struggle
",5.0
"jokes about autism are ignorant
",5.0
"tomorrows mums need obesity help
",5.0
"alzheimers â£30m collaboration begins
",5.0
"video videos of 1500 beating human hearts
",5.0
"bingedrinking falls in young adults
",5.0
"screen name key to online dating
",5.0
"england bans smoking in cars
",5.0
"damages for france baby mixup
",5.0
"asbestos nhs costs decision due
",5.0
"woman cured by lucky dna mutation
",5.0
"video counting birds helps mumâs dementia
",5.0
"daughters poo made me obese
",5.0
"diabetes women more likely to die
",5.0
"aampe waits worsen slightly in england
",5.0
"ecigarettes may harm the lungs
",5.0
"nhs agency nurses spending soars
",5.0
"guinea worm will be eradicated soon
",5.0
"military must tackle alcohol abuse
",5.0
"aampe struggles with elderly patients
",5.0
"serious errors in boys heart care
",5.0
"abortion case goes to high court
",5.0
"video battle of the budget gyms
",5.0
"video mural challenges fear of ebola
",5.0
"stroke campaign reduced disability
",5.0
"sink or swim the global drowning crisis
",5.0
"stress balls cut surgery anxiety
",5.0
"bedtime has huge impact on sport
",5.0
"ebola virus mutating scientists say
",5.0
"ambulance strike to go ahead in ni
",5.0
"nhs backs multimillion pound drug
",5.0
"care calculator launched by bbc
",5.0
"many asthma diagnoses may be wrong
",5.0
"the cost of being unhealthy
",5.0
"unison calls off strike by nhs staff
",5.0
"dementia link to common drugs
",5.0
"umami taste buds key to health
",5.0
"plastic surgery rules proposed
",5.0
"blood pressure device promising
",5.0
"masked tutors boost nurse training
",5.0
"designer baby debate should start
",5.0
"miliband pledges mental health push
",5.0
"meet the children orphaned by ebola
",5.0
"closing eyes aids memory recall
",5.0
"nhs urged to take back hospital
",5.0
"hibernating hints at dementia therapy
",5.0
"inactivity kills more than obesity
",5.0
"young jobless face isolation risk
",5.0
"australians to pay more to see gps
",5.0
"regular naps are key to learning
",5.0
"so is cancer mostly bad luck or not
",5.0
"ebola nurse no longer critically ill
",5.0
"video child marriage in ivory coast
",5.0
"all aboard the chemo bus
",5.0
"audio drug company may take legal action
",5.0
"ebola a day with the burial team
",5.0
"outrage at nhs cancer drugs move
",5.0
"ebola drug trial starts in liberia
",5.0
"trusts cancel nonemergency ops
",5.0
"womens lung cancer rates rocket
",5.0
"video nhs in crisis labours burnham
",5.0
"uk ebola nurse has stabilised
",5.0
"charity to probe uk ebola nurse case
",5.0
"nhs sticking plaster on inequality
",5.0
"learning disability checks success
",5.0
"most cancer types just bad luck
",5.0
"ebola screening tests under scrutiny
",5.0
"righttodie campaigner purdy dies
",5.0
"video smoking rots you from the inside
",5.0
"target drunks aampe boss urges police
",5.0
"christmas baby born on us train
",5.0
"life choices behind many cancers
",5.0
"christmas menus turtles to turkeys
",5.0
"smartphones changing our brains
",5.0
"video ambulance targets may help patients
",5.0
"ambulance targets plan revealed
",5.0
"cancer bungle down to incompetence
",5.0
"uk to aid children affected by ebola
",5.0
"liquid nitrogen drink bar charged
",5.0
"child car smoking ban bill launched
",5.0
"superbug found in rio olympic waters
",5.0
"ebola serum supply reaches liberia
",5.0
"poor hygiene deadly in childbirth
",5.0
"video burnham on clegg privatisation claims
",5.0
"boys selfharm aampe visits rising
",5.0
"memory lapses may signal stroke risk
",5.0
"mental health job scheme damaging
",5.0
"superbugs to kill more than cancer
",5.0
"video too many medicines not enough health
",5.0
"nhs in trouble without migrants
",5.0
"video clegg smoking question a bit harsh
",5.0
"labour pledges cancer therapy fund
",5.0
"midwife facing baby drugs charges
",5.0
"shops disability access shocking
",5.0
"ebola basic care being missed
",5.0
"breastfeed discreetly urges farage
",5.0
"obese lose up to eight years of life
",5.0
"nhs should welcome citizen whistleblowers
",5.0
"gut bacteria help attack malaria
",5.0
"audio i had drink problem whilst pregnant
",5.0
"its not just about the money
",5.0
"monitor to launch inquiry into trust
",5.0
"smokers and obese face surgery bar
",5.0
"guidance says home births can be best
",5.0
"med diet keeps us genetically young
",5.0
"audio hiv virus becoming less dangerous
",5.0
"video tackling hiv in myanmar
",5.0
"nhs leukaemia drug watchdog uturn
",5.0
"mother challenges nhs ombudsman
",5.0
"mentally ill teenager held in cell
",5.0
"making the most of life with cystic fibrosis
",5.0
"video nhs uturn over drug trial money
",5.0
"nhs uturn over drug trial money
",5.0
"ebola test results in 15 minutes
",5.0
"mental health deaths as beds cut
",5.0
"exciting bladder cancer drug trial
",5.0
"video sadness at ebolas young victims
",5.0
"tracing the ebola outbreak
",5.0
"many elderly struggle at home
",5.0
"ecigarette lure might be baseless
",5.0
"video understanding autism living in a box
",5.0
"journey through the ebola heartland
",5.0
"mental health nursing cuts warning
",5.0
"ebola team will miss human touch
",5.0
"nhs staff to fly out to fight ebola
",5.0
"watchdog ranks mental health trusts
",5.0
"obesity costing same as smoking
",5.0
"video mps bill to put right nhs mistakes
",5.0
"audio surgeons records made public
",5.0
"ebola research receives 57m boost
",5.0
"nhs to publish surgeon outcomes data
",5.0
"care claim backlog to cost nhs â£250m
",5.0
"nhs ombudsman failing families
",5.0
"video goggle camera records ebola crisis
",5.0
"one kiss shares 80 million bugs
",5.0
"premature birth biggest killer
",5.0
"bird flu case at yorkshire duck farm
",5.0
"dry january may do longterm good
",5.0
"plastics and premature baby warning
",5.0
"ebola drug clinical trials to start
",5.0
"gay men should get anticancer jab
",5.0
"mind control used to switch on genes
",5.0
"lamb nhs needs a cash injection
",5.0
"doughnut burger busts days calories
",5.0
"video geldof ebola is inhuman
",5.0
"hundreds of obese young need surgery
",5.0
"inherited bugs may help weight loss
",5.0
"sierra leone gets uk ebola centre
",5.0
"tobacco firms to challenge eu rules
",5.0
"audio weight loss surgery cured my diabetes
",5.0
"ebola london woman being tested
",5.0
"nhs trusts counting on bailouts
",5.0
"disasters group launches ebola appeal
",5.0
"drinking milk may not protect bones
",5.0
"surgery halted by incomplete data
",5.0
"body has rush hour transformation
",5.0
"tribute to fgm warrior efua dorkenoo
",5.0
"ebola crisis may harm malaria fight
",5.0
"scandalous scaremongering over nhs
",5.0
"10 things you may not know about laughter
",5.0
"cancerkilling cells made in the lab
",5.0
"video ashya king has really come along
",5.0
"roman gums healthier than ours
",5.0
"ebola bloodtherapy team set up
",5.0
"more to do on disabled hate crimes
",5.0
"who emergency team holds ebola talks
",5.0
"audio nursing morale at heartbreaking low
",5.0
"jones dismisses health inquiry call
",5.0
"gamblers brains no endorphin rush
",5.0
"video obama dont give in to hysteria
",5.0
"video laxative abuse and the damage it can do
",5.0
"mistakes costing nhs billions
",5.0
"call for trafalgar square smoking ban
",5.0
"dying patients lack home support
",5.0
"un worker dies of ebola in germany
",5.0
"fly genes hold clue to human illness
",5.0
"heathrow ebola screening from tuesday
",5.0
"audio men cannot talk about feeling lonely
",5.0
"video sir ian botham on his dads dementia
",5.0
"ebola outbreak deaths exceed 4000
",5.0
"giant leap to type 1 diabetes cure
",5.0
"more paramedics quitting nhs jobs
",5.0
"gene therapy treats bubble boy
",5.0
"video mental health care must be instant
",5.0
"video attitudes to mental health changing
",5.0
"does wellbeing promote good mental health
",5.0
"video can the humble radio save lives
",5.0
"nhs at breaking point medics say
",5.0
"height differences caused by dna
",5.0
"video lib dems pledge â£1bn boost to nhs
",5.0
"guernseys health board resigns
",5.0
"another day another tablet
",5.0
"does cancer get too much attention
",5.0
"80 had contact with us ebola man
",5.0
"ebola fight hit by aid cuts mps warn
",5.0
"councils swamped by rights checks
",5.0
"boys lifesupport should end judge
",5.0
"antibiotic link to child obesity
",5.0
"children hit by tooth decay at three
",5.0
"video brazil releases good mosquitoes
",5.0
"in pictures maliâs motorbiking eye surgeons
",5.0
"audio i lost ten family members to ebola
",5.0
"the struggle to claim the month of october
",5.0
"video sharp rise in malaysia dengue deaths
",5.0
"nhs whistleblowing problems persist
",5.0
"video are disability hate crimes ignored
",5.0
"from toilet to table overcoming the âyukâ factor
",5.0
"pregnancy hormone link to poor maths
",5.0
"ebola health team killed in guinea
",5.0
"obesity the new smoking nhs boss
",5.0
"ebola global security threat obama
",5.0
"video stephen suttons â£5m charity legacy
",5.0
"ashya proton beam sessions begin
",5.0
"brains may resist alzheimers
",5.0
"botox stunts emotional growth
",5.0
"mum and daughter give dyspraxia help
",5.0
"video campaigns in debate clash over nhs
",5.0
"blood group link to memory loss
",5.0
"audio can you die from a broken heart
",5.0
"new money to tackle ebola outbreak
",5.0
"two more nurses on neglect charges
",5.0
"some patients awake during surgery
",5.0
"ashya undergoes prague clinic scans
",5.0
"video society must recognise mental ill health
",5.0
"video make mental health bigger priority
",5.0
"make mental health bigger priority
",5.0
"british military sent to fight ebola
",5.0
"ashya king leaves malaga hospital
",5.0
"sibling bullying ups depression risk
",5.0
"the pro cycling team with diabetes
",5.0
"vaccine gives monkeys ebola immunity
",5.0
"third american with ebola named
",5.0
"video doctor describes ashya king treatment
",5.0
"ebola response lethally inadequate
",5.0
"ashya situation not right police
",5.0
"brain can learn to eat healthily
",5.0
"what is proton beam therapy
",5.0
"childhood obesity taskforce urgent
",5.0
"hunt for boy 5 snatched from ward
",5.0
"ebola spreads to nigeria oil hub
",5.0
"uk ebola nurse gets test drug
",5.0
"briton begins uk treatment for ebola
",5.0
"irishman did not have ebola virus
",5.0
"doctors may face tougher sanctions
",5.0
"us ebola cases discharged by medics
",5.0
"labour in energy regulator pledge
",5.0
"superbug measures lack evidence
",5.0
"botox may have cancer fighting role
",5.0
"lesserknown things about aspergers syndrome
",5.0
"video is it salmonella or a tummy bug
",5.0
"ebola to last at least six months
",5.0
"salmonella outbreak investigated
",5.0
"guinea declares ebola emergency
",5.0
"tiny pieces of gold boost chemo
",5.0
"my beautiful downs son
",5.0
"video boy has ears created from ribs
",5.0
"untested ebola drugs can be used
",5.0
"boy has ears created from ribs
",5.0
"video meet the uk doctors heading to gaza
",5.0
"video uk to send nhs team to gaza
",5.0
"guinea shuts borders against ebola
",5.0
"nigeria declares ebola emergency
",5.0
"ebola an international emergency
",5.0
"nhs says no to breast cancer drug
",5.0
"clegg mental health needs boost
",5.0
"weight loss boosts health not mood
",5.0
"ebola experimental drugs and vaccines
",5.0
"liberia declares ebola emergency
",5.0
"emergency ebola summit under way
",5.0
"video london doctor treating ebola victims
",5.0
"audio lockedin syndrome mum passes degree
",5.0
"thai surrogate baby case disputed
",5.0
"quick video games benefit children
",5.0
"video surrogate baby gammy improving
",5.0
"bmj right in statins claims row
",5.0
"whistleblowers get rough deal mps
",5.0
"technique turns bodies seethrough
",5.0
"s leone declares ebola emergency
",5.0
"minister wants uk animal tests ban
",5.0
"video is it a good summer for insect bites
",5.0
"middleaged drinking impairs memory
",5.0
"heart ops backlog pledge by minister
",5.0
"liberia shuts borders to curb ebola
",5.0
"sun can harm sight as well as skin
",5.0
"autism schools legacy lives on
",5.0
"fewer young smokers and drinkers
",5.0
"indian boy has 232 teeth removed
",5.0
"audio gay man had shocks on nhs as cure
",5.0
"health unions to ballot on strikes
",5.0
"anatomy of female genital mutilation
",5.0
"early hiv drugs may not stop virus
",5.0
"analysis assisted dying debate
",5.0
"food learning theory for obese women
",5.0
"early risers less moral at night
",5.0
"care minister backs assisted dying
",5.0
"child obesity needs to be tackled
",5.0
"ban on smoking in cars in wales
",5.0
"migrants to pay more to use nhs
",5.0
"desmond tutu backs assisted dying
",5.0
"church urges assisted dying inquiry
",5.0
"young people explain psychosis
",5.0
"gay men urged to take hiv drugs
",5.0
"shortage in child mental health beds
",5.0
"maternity closures due to shortages
",5.0
"hiv reemerges in cured us girl
",5.0
"synthetic cannabis not medicinal
",5.0
"cooling babies halts brain damage
",5.0
"health board data breach criticism
",5.0
"tb in children much more common
",5.0
"blood infection warning for new mums
",5.0
"audio alzheimers blood test breakthrough
",5.0
"suspected ebola case hits ghana
",5.0
"coping with my teenage chemo brain
",5.0
"pms antibiotics plan not enough
",5.0
"obesity and diabetes cost harms nhs
",5.0
"obesity and diabetes cost harms nhs
",5.0
"antibiotics cmo answers your questions
",5.0
"nhs surgery age discrimination
",5.0
"human corneas regrown in mice
",5.0
"crisis meeting as ebola toll rises
",5.0
"malaria leads to body odour change
",5.0
"clotting balls may stop bleeding
",5.0
"diabetes drugs may not be best
",5.0
"video doctors debate total smoking ban
",5.0
"give nhs more cash say coalition mps
",5.0
"most dangerous day of their life
",5.0
"leukaemia clue in breast cancer
",5.0
"big jump in mers cases reported
",5.0
"man has balloon tumour removed
",5.0
"how much sugar do we eat
",5.0
